,ANO_OCORRENCIA,MES_OCORRENCIA,UF,MUNICIPIO,ESPECIE_ARMA,MARCA_ARMA,CALIBRE_ARMA,TIPO_OCORRENCIA,MAIS_1000_MIL_HAB,TOTAL,outlier
5637,2024,7,SP,SÃO PAULO                          ,Carabina                                          ,WINCHESTER                                                            ,.38                                               ,Campanha do Desarmamento                                                  ,S,1,False
5638,2024,7,SP,SÃO PAULO                          ,Pistola                                           ,GLOCK GMBH (ÁUSTRIA)                                                  ,.380                                              ,Apostilada no Exercito                                                    ,S,2,False
5639,2024,7,SP,SÃO PAULO                          ,Pistola                                           ,GLOCK GMBH (ÁUSTRIA)                                                  ,.380                                              ,Campanha do Desarmamento                                                  ,S,1,False
5640,2024,7,SP,SÃO PAULO                          ,Pistola                                           ,GLOCK GMBH (ÁUSTRIA)                                                  ,9x19mm                                            ,Apostilada no Exercito                                                    ,S,1,False
5641,2024,7,SP,SÃO PAULO                          ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380                                              ,Apostilada no Exercito                                                    ,S,1,False
5642,2024,7,SP,SÃO PAULO                          ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380                                              ,Extravio/Perda de Arma de Fogo                                            ,S,1,False
5643,2024,7,SP,SÃO PAULO                          ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380                                              ,Furto de Arma de Fogo                                                     ,S,2,False
5644,2024,7,SP,SÃO PAULO                          ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,"6,35mm                                            ",Campanha do Desarmamento                                                  ,S,1,False
5645,2024,7,SP,SÃO PAULO                          ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,"7,65mm                                            ",Campanha do Desarmamento                                                  ,S,1,False
5646,2024,7,SP,SÃO PAULO                          ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,9 mm                                              ,Apreensão de Arma de Fogo                                                 ,S,1,False
5647,2024,7,SP,SÃO PAULO                          ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,9 mm                                              ,Furto de Arma de Fogo                                                     ,S,1,False
5648,2024,7,SP,SÃO PAULO                          ,Revolver                                          ,SMITH & WESSON                                                        ,.32                                               ,Campanha do Desarmamento                                                  ,S,1,False
5649,2024,7,SP,SÃO PAULO                          ,Revolver                                          ,TAURUS ARMAS S.A.                                                     ,.32                                               ,Campanha do Desarmamento                                                  ,S,1,False
5650,2024,7,SP,SÃO PAULO                          ,Revolver                                          ,TAURUS ARMAS S.A.                                                     ,.38                                               ,Campanha do Desarmamento                                                  ,S,4,False
5651,2024,7,SP,TAPIRATIBA                         ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380                                              ,Apreensão de Arma de Fogo                                                 ,N,1,False
